chain_id,name,fee_token_symbol,fee_token_decimal
1,ethereum,ETH,18
10,optimism,ETH,18
25,cronos,CRO,18
30,rootstock,RBTC,18
40,telos,TLOS,18
56,bnb,BNB,18
100,gnosis,XDAI,18
137,polygon,MATIC,18
169,manta,ETH,18
250,fantom,FTM,18
252,fraxtal,frxETH,18
288,boba,ETH,18
324,zksync,ETH,18
1088,metis,METIS,18
1101,zkevm,ETH,18
1116,core,CORE,18
1135,lisk,ETH,18
1284,moonbeam,GLMR,18
1285,moonriver,MOVR,18
1329,sei,SEI,18
1625,gravity,G.,18
2000,dogechain,DOGE,18
2222,kava,KAVA,18
4200,merlin,BTC,18
5000,mantle,MNT,18
5165,bahamut,FTN,18
7000,zetachain,ZETA,18
7700,canto,CANTO,18
8217,klaytn,KLAY,18
8453,base,ETH,18
34443,mode,ETH,18
42161,arbitrum,ETH,18
42170,arbitrum nova,ETH,18
43114,avalanche_c,AVAX,18
53935,dfk chain,JEWEL,18
56288,boba bnb,BOBA,18
59144,linea,ETH,18
81457,blast,ETH,18
167000,taiko,ETH,18
534352,scroll,ETH,18
810180,zklink,ETH,18
7565164,solana,SOL,9
7777777,zora,ETH,18
1313161554,aurora,ETH,18
1666600000,harmony,ONE,18
